sample_name,substrate,hit_bool
P109,acetylsulfamethoxazole,0
P109,butyrate,1
P109,capecitabine,0
P109,flutamide,0
P109,nitroacetanilide,0
P109,paracetamol,0
P109,propanil,0
P109,trimethyl,1
P109,vorinostat,0
P109,acesulfame,0
P109,dasatinib,0
P109,atorvastatin,0
P109,metoclopramide,0
P109,rufinamide,0
P109,chlorpropham,0
P109,atenolol,0
P109,diuron,0
P117,acetylsulfamethoxazole,0
P117,butyrate,1
P117,capecitabine,0
P117,flutamide,0
P117,nitroacetanilide,0
P117,paracetamol,0
P117,propanil,0
P117,trimethyl,1
P117,vorinostat,0
P117,acesulfame,0
P117,dasatinib,0
P117,atorvastatin,0
P117,metoclopramide,0
P117,rufinamide,0
P117,chlorpropham,0
P117,atenolol,0
P117,diuron,0
P118,acetylsulfamethoxazole,0
P118,butyrate,0
P118,capecitabine,0
P118,flutamide,0
P118,nitroacetanilide,0
P118,paracetamol,0
P118,propanil,0
P118,trimethyl,1
P118,vorinostat,0
P118,acesulfame,0
P118,dasatinib,0
P118,atorvastatin,0
P118,metoclopramide,0
P118,rufinamide,0
P118,chlorpropham,0
P118,atenolol,0
P118,diuron,0
P128,acetylsulfamethoxazole,0
P128,butyrate,1
P128,capecitabine,1
P128,flutamide,0
P128,nitroacetanilide,0
P128,paracetamol,0
P128,propanil,1
P128,trimethyl,1
P128,vorinostat,1
P128,acesulfame,0
P128,dasatinib,0
P128,atorvastatin,0
P128,metoclopramide,0
P128,rufinamide,0
P128,chlorpropham,0
P128,atenolol,0
P128,diuron,0
P131,acetylsulfamethoxazole,1
P131,butyrate,1
P131,capecitabine,1
P131,flutamide,1
P131,nitroacetanilide,1
P131,paracetamol,1
P131,propanil,1
P131,trimethyl,1
P131,vorinostat,1
P131,acesulfame,0
P131,dasatinib,0
P131,atorvastatin,0
P131,metoclopramide,0
P131,rufinamide,0
P131,chlorpropham,0
P131,atenolol,0
P131,diuron,0
P140,acetylsulfamethoxazole,0
P140,butyrate,1
P140,capecitabine,0
P140,flutamide,0
P140,nitroacetanilide,0
P140,paracetamol,0
P140,propanil,0
P140,trimethyl,0
P140,vorinostat,0
P140,acesulfame,0
P140,dasatinib,0
P140,atorvastatin,0
P140,metoclopramide,0
P140,rufinamide,0
P140,chlorpropham,0
P140,atenolol,0
P140,diuron,0
P148,acetylsulfamethoxazole,1
P148,butyrate,1
P148,capecitabine,1
P148,flutamide,1
P148,nitroacetanilide,1
P148,paracetamol,1
P148,propanil,1
P148,trimethyl,1
P148,vorinostat,1
P148,acesulfame,0
P148,dasatinib,0
P148,atorvastatin,0
P148,metoclopramide,0
P148,rufinamide,0
P148,chlorpropham,0
P148,atenolol,0
P148,diuron,0
P151,acetylsulfamethoxazole,0
P151,butyrate,1
P151,capecitabine,0
P151,flutamide,0
P151,nitroacetanilide,0
P151,paracetamol,1
P151,propanil,1
P151,trimethyl,0
P151,vorinostat,1
P151,acesulfame,0
P151,dasatinib,0
P151,atorvastatin,0
P151,metoclopramide,0
P151,rufinamide,0
P151,chlorpropham,0
P151,atenolol,0
P151,diuron,0
P156,acetylsulfamethoxazole,1
P156,butyrate,0
P156,capecitabine,0
P156,flutamide,1
P156,nitroacetanilide,1
P156,paracetamol,1
P156,propanil,1
P156,trimethyl,0
P156,vorinostat,0
P156,acesulfame,0
P156,dasatinib,0
P156,atorvastatin,0
P156,metoclopramide,0
P156,rufinamide,0
P156,chlorpropham,0
P156,atenolol,0
P156,diuron,0
P161,acetylsulfamethoxazole,1
P161,butyrate,1
P161,capecitabine,0
P161,flutamide,1
P161,nitroacetanilide,1
P161,paracetamol,1
P161,propanil,1
P161,trimethyl,0
P161,vorinostat,0
P161,acesulfame,0
P161,dasatinib,0
P161,atorvastatin,0
P161,metoclopramide,0
P161,rufinamide,0
P161,chlorpropham,0
P161,atenolol,0
P161,diuron,0
P162,acetylsulfamethoxazole,0
P162,butyrate,1
P162,capecitabine,1
P162,flutamide,1
P162,nitroacetanilide,1
P162,paracetamol,1
P162,propanil,1
P162,trimethyl,1
P162,vorinostat,1
P162,acesulfame,0
P162,dasatinib,0
P162,atorvastatin,0
P162,metoclopramide,0
P162,rufinamide,0
P162,chlorpropham,0
P162,atenolol,0
P162,diuron,0
P167,acetylsulfamethoxazole,0
P167,butyrate,0
P167,capecitabine,0
P167,flutamide,0
P167,nitroacetanilide,0
P167,paracetamol,1
P167,propanil,0
P167,trimethyl,0
P167,vorinostat,0
P167,acesulfame,0
P167,dasatinib,0
P167,atorvastatin,0
P167,metoclopramide,0
P167,rufinamide,0
P167,chlorpropham,0
P167,atenolol,0
P167,diuron,0
P168,acetylsulfamethoxazole,0
P168,butyrate,1
P168,capecitabine,0
P168,flutamide,1
P168,nitroacetanilide,1
P168,paracetamol,1
P168,propanil,0
P168,trimethyl,1
P168,vorinostat,1
P168,acesulfame,0
P168,dasatinib,0
P168,atorvastatin,0
P168,metoclopramide,0
P168,rufinamide,0
P168,chlorpropham,0
P168,atenolol,0
P168,diuron,0
P182,acetylsulfamethoxazole,0
P182,butyrate,0
P182,capecitabine,0
P182,flutamide,0
P182,nitroacetanilide,0
P182,paracetamol,0
P182,propanil,1
P182,trimethyl,0
P182,vorinostat,0
P182,acesulfame,0
P182,dasatinib,0
P182,atorvastatin,0
P182,metoclopramide,0
P182,rufinamide,0
P182,chlorpropham,0
P182,atenolol,0
P182,diuron,0
P197,acetylsulfamethoxazole,0
P197,butyrate,1
P197,capecitabine,0
P197,flutamide,0
P197,nitroacetanilide,0
P197,paracetamol,0
P197,propanil,0
P197,trimethyl,0
P197,vorinostat,0
P197,acesulfame,0
P197,dasatinib,0
P197,atorvastatin,0
P197,metoclopramide,0
P197,rufinamide,0
P197,chlorpropham,0
P197,atenolol,0
P197,diuron,0
P198,acetylsulfamethoxazole,0
P198,butyrate,1
P198,capecitabine,0
P198,flutamide,0
P198,nitroacetanilide,0
P198,paracetamol,0
P198,propanil,0
P198,trimethyl,0
P198,vorinostat,0
P198,acesulfame,0
P198,dasatinib,0
P198,atorvastatin,0
P198,metoclopramide,0
P198,rufinamide,0
P198,chlorpropham,0
P198,atenolol,0
P198,diuron,0
