Identifier;EC1;EC2;EC3
PKY79758.1_Pseudoglutamicibacter_albus;EC:3.5.2.12;EC:3.5.1.4;EC:3.5.1.13
PKZ37694.1_Kocuria_rhizophila;EC:3.5.1.4;;
PKZ08631.1_Dermabacter_hominis;EC:3.5.1.4;EC:3.5.2.12;
PLB82905.1_Actinotignum_timonense;EC:3.5.1.4;;
PLA23573.1_Cutibacterium_acnes;EC:3.5.1.4;;
PLA36250.1_Corynebacterium_amycolatum;EC:3.5.1.4;;
PLA20978.1_Corynebacterium_pyruviciproducens;EC:3.5.1.4;;
PLA13043.1_Corynebacterium_riegelii;EC:3.5.1.4;;
PLA27924.1_Corynebacterium_coyleae;EC:3.5.1.4;;
PMC64034.1_Corynebacterium_tuscaniense;EC:3.5.1.4;;
